"Player","League_from","League_to","Fee","Season"
"Fernando Navarro","LaLiga","LaLiga","4.23","08-09"
"Tomás Sivok","Serie A","Süper Lig","4.23","08-09"
"Rafael Carioca","Série A","Premier Liga","4.23","08-09"
"Giuliano","Série B","Série A","4.23","08-09"
"Djiby Fall","SAS Ligaen","Premier Liga","4.23","08-09"
"Fernando Meira","Bundesliga","Süper Lig","4.05","08-09"
"Emre Belözoglu","Premier League","Süper Lig","4.05","08-09"
"Frédéric Piquionne","Ligue 1","Ligue 1","4.05","08-09"
"Fabian Ernst","Bundesliga","Süper Lig","4.05","08-09"
"Igor Budan","Serie B","Serie A","4.05","08-09"
"Kevin Nolan","Premier League","Premier League","4.05","08-09"
"Francesco Modesto","Serie A","Serie A","4.05","08-09"
"Maurizio Domizzi","Serie A","Serie A","4.05","08-09"
"Neven Subotic","2. Bundesliga","Bundesliga","4.05","08-09"
"Marat Izmailov","Premier Liga","Liga NOS","4.05","08-09"
"Kyle Lafferty","Championship","Premiership","4.05","08-09"
"Tomas Zapotocny","Serie A","Süper Lig","4.05","08-09"
"Pedro Geromel","Liga NOS","Bundesliga","4.05","08-09"
"Jaime Gavilán","LaLiga","LaLiga","4.05","08-09"
"Fernando Torres","LaLiga","Premier League","34.2","07-08"
"Arjen Robben","Premier League","LaLiga","31.5","07-08"
"Anderson","Liga NOS","Premier League","28.35","07-08"
"Franck Ribéry","Ligue 1","Bundesliga","27","07-08"
"Pepe","Liga NOS","LaLiga","27","07-08"
"Wesley Sneijder","Eredivisie","LaLiga","24.3","07-08"
"Nani","Liga NOS","Premier League","22.95","07-08"
"Owen Hargreaves","Bundesliga","Premier League","22.5","07-08"
"Darren Bent","Championship","Premier League","22.28","07-08"
"Thierry Henry","Premier League","LaLiga","21.6","07-08"
"Alexandre Pato","Série A","Serie A","21.6","07-08"
"Javier Mascherano","Premier League","Premier League","20.25","07-08"
"Diego Forlán","LaLiga","LaLiga","18.9","07-08"
"Gabriel Milito","LaLiga","LaLiga","18","07-08"
"Simão","Liga NOS","LaLiga","18","07-08"
"Florent Malouda","Ligue 1","Premier League","17.1","07-08"
"Nicolas Anelka","Premier League","Premier League","16.2","07-08"
"Manuel Fernandes","Liga NOS","LaLiga","16.2","07-08"
"Éver Banega","Torneo Final","LaLiga","16.2","07-08"
"Ryan Babel","Eredivisie","Premier League","15.53","07-08"
"Afonso Alves","Eredivisie","Premier League","15.3","07-08"
"Abdul Kader Keita","Ligue 1","Ligue 1","15.12","07-08"
"Yakubu Aiyegbeni","Premier League","Premier League","14.85","07-08"
"Cristian Chivu","Serie A","Serie A","14.4","07-08"
"Mirko Vucinic","Serie B","Serie A","14.18","07-08"
"Miroslav Klose","Bundesliga","Bundesliga","13.5","07-08"
"Éric Abidal","Ligue 1","LaLiga","13.5","07-08"
"Mauro Zárate","Torneo Final","Qatar","13.5","07-08"
"Nery Castillo","GSL","Vyshcha Liga","13.5","07-08"
"Gareth Bale","Championship","Premier League","13.23","07-08"
"Marcell Jansen","2. Bundesliga","Bundesliga","12.6","07-08"
"Royston Drenthe","Eredivisie","LaLiga","12.6","07-08"
"Nikola Zigic","LaLiga","LaLiga","12.6","07-08"
"Willian","Série A","Vyshcha Liga","12.6","07-08"
"Eduardo","1.HNL","Premier League","12.15","07-08"
"Tiago Mendes","Ligue 1","Serie A","11.7","07-08"
"Raúl García","LaLiga","LaLiga","11.7","07-08"
"David Suazo","Serie A","Serie A","11.7","07-08"
"Rolando Bianchi","Serie A","Premier League","11.7","07-08"
"Vedran Corluka","1.HNL","Premier League","11.7","07-08"
"Alan Hutton","Premiership","Premier League","11.7","07-08"
"Nigel Reo-Coker","Premier League","Premier League","11.25","07-08"
"José Antonio Reyes","Premier League","LaLiga","10.8","07-08"
"Juan Román Riquelme","LaLiga","Torneo Final","10.8","07-08"
"Gabriel Heinze","Premier League","LaLiga","10.8","07-08"
"Younès Kaboul","Ligue 1","Premier League","10.8","07-08"
"Javier Arizmendi","LaLiga","LaLiga","10.8","07-08"
"Elano","Vyshcha Liga","Premier League","10.8","07-08"
"Kieron Dyer","Premier League","Premier League","10.8","07-08"
"Arouna Koné","Eredivisie","LaLiga","10.8","07-08"
"Breno","Série A","Bundesliga","10.8","07-08"
"Branislav Ivanovic","Premier Liga","Premier League","10.8","07-08"
"Óscar Cardozo","Torneo Final","Liga NOS","10.5","07-08"
"Vincenzo Iaquinta","Serie A","Serie A","10.17","07-08"
"Craig Bellamy","Premier League","Premier League","10.13","07-08"
"Luca Toni","Serie A","Bundesliga","9.9","07-08"
"Cicinho","LaLiga","Serie A","9.9","07-08"
"Mohamed Sissoko","Premier League","Serie A","9.9","07-08"
"Craig Gordon","Premiership","Premier League","9.74","07-08"
"Jonathan Woodgate","Premier League","Premier League","9.72","07-08"
"Sulley Muntari","Serie A","Premier League","9.46","07-08"
"Scott Parker","Premier League","Premier League","9.23","07-08"
"Jorge Andrade","LaLiga","Serie A","9","07-08"
"Lucas Leiva","Série A","Premier League","9","07-08"
"John Utaka","Ligue 1","Premier League","9","07-08"
"Peter Odemwingie","Ligue 1","Premier Liga","9","07-08"
"Ilsinho","Série A","Vyshcha Liga","9","07-08"
"Giuseppe Rossi","Premier League","LaLiga","9","07-08"
"Martin Skrtel","Premier Liga","Premier League","9","07-08"
"Jonathan Woodgate","LaLiga","Premier League","8.64","07-08"
"Jermain Defoe","Premier League","Premier League","8.37","07-08"
"Julien Faubert","Ligue 1","Premier League","8.24","07-08"
"Djibril Cissé","Premier League","Ligue 1","8.1","07-08"
"Yaya Touré","Ligue 1","LaLiga","8.1","07-08"
"Sergio Almirón","Serie A","Serie A","8.1","07-08"
"José Sosa","Torneo Final","Bundesliga","8.1","07-08"
"Diomansy Kamara","Championship","Premier League","8.1","07-08"
"David Nugent","Championship","Premier League","8.1","07-08"
"Bacary Sagna","Ligue 1","Premier League","8.1","07-08"
"Alan Smith","Premier League","Premier League","8.1","07-08"
"Kenwyne Jones","Championship","Premier League","8.1","07-08"
"Mido","Premier League","Premier League","7.92","07-08"
"Fabio Grosso","Serie A","Ligue 1","7.83","07-08"
"José Enrique","LaLiga","Premier League","7.83","07-08"
"Gökdeniz Karadeniz","Süper Lig","Premier Liga","7.83","07-08"
"Joey Barton","Premier League","Premier League","7.74","07-08"
"Kieran Richardson","Premier League","Premier League","7.38","07-08"
"Valeri Bojinov","Serie A","Premier League","7.2","07-08"
"Karim Ziani","Ligue 1","Ligue 1","7.2","07-08"
"Boško Jankovic","LaLiga","Serie A","7.2","07-08"
"Rio Mavuba","Ligue 1","LaLiga","7.2","07-08"
"Cléber Santana","Série A","LaLiga","7.2","07-08"
"Ángel Di María","Torneo Final","Liga NOS","7.2","07-08"
"Aquivaldo Mosquera","Primera Clausura","LaLiga","7.2","07-08"
"Albert Luque","Premier League","Eredivisie","7.2","07-08"
"Aleksandr Kerzhakov","LaLiga","Premier Liga","7.2","07-08"
"Cristiano Lucarelli","Serie A","Vyshcha Liga","7.12","07-08"
"Kevin-Prince Boateng","Bundesliga","Premier League","7.11","07-08"
"Carlos Alberto","Série A","Bundesliga","7.02","07-08"
"Domenico Criscito","Serie A","Serie A","6.75","07-08"
"Michael Chopra","Championship","Premier League","6.75","07-08"
"Nelson Rivas","Torneo Final","Serie A","6.75","07-08"
"Leighton Baines","Premier League","Premier League","6.75","07-08"
"Luis Suárez","Eredivisie","Eredivisie","6.75","07-08"
"Grafite","Ligue 1","Bundesliga","6.75","07-08"
"Mémé Tchité","Jupiler Pro League","LaLiga","6.75","07-08"
"Gary O'Neil","Premier League","Premier League","6.75","07-08"
"James McFadden","Premier League","Premier League","6.75","07-08"
"Miralem Pjanic","Ligue 1","Ligue 1","6.75","07-08"
"Fernando Belluschi","Torneo Final","Super League","6.66","07-08"
"Alou Diarra","Ligue 1","Ligue 1","6.66","07-08"
"Fabio Quagliarella","Serie A","Serie A","6.57","07-08"
"Yossi Benayoun","Premier League","Premier League","6.57","07-08"
"Andrea Caracciolo","Serie A","Serie B","6.35","07-08"
"Martin Petrov","LaLiga","Premier League","6.3","07-08"
"Diego López","LaLiga","LaLiga","6.3","07-08"
"Andrés Guardado","Primera Clausura","LaLiga","6.3","07-08"
"Ciprian Marica","Vyshcha Liga","Bundesliga","6.3","07-08"
"Carlos Eduardo","Série A","2. Bundesliga","6.3","07-08"
"Mounir El Hamdaoui","Eredivisie","Eredivisie","6.3","07-08"
"Emerson","Ligue 1","Qatar","6.3","07-08"
"Lassana Diarra","Premier League","Premier League","6.3","07-08"
"Daniele Mannini","Serie B","Serie A","6.3","07-08"
"Felipe Caicedo","SSL","Premier League","6.3","07-08"
"Jason Koumas","Championship","Premier League","6.21","07-08"
"Danny Koevermans","Eredivisie","Eredivisie","6.21","07-08"
"Mathieu Bodmer","Ligue 1","Ligue 1","6.12","07-08"
"Mariano Pavone","Torneo Final","LaLiga","6.12","07-08"
"Scott Brown","Premiership","Premiership","5.94","07-08"
"Mohamed Zidan","2. Bundesliga","Bundesliga","5.85","07-08"
"Juan","Bundesliga","Serie A","5.67","07-08"
"César Delgado","Primera Clausura","Ligue 1","5.67","07-08"
"Alexis Ruano","LaLiga","LaLiga","5.4","07-08"
"Franco Semioli","Serie B","Serie A","5.4","07-08"
"Frédéric Piquionne","Ligue 1","Ligue 1","5.4","07-08"
"Fabrice Muamba","Premier League","Premier League","5.4","07-08"
"Jussiê","Ligue 1","Ligue 1","5.4","07-08"
"Danko Lazovic","Eredivisie","Eredivisie","5.4","07-08"
"Francesco Tavano","LaLiga","Serie A","5.4","07-08"
"Mark González","Premier League","LaLiga","5.4","07-08"
"Ismaël Bangoura","Ligue 1","Vyshcha Liga","5.4","07-08"
"Phil Jagielka","Championship","Premier League","5.4","07-08"
"Óscar Ustari","Torneo Final","LaLiga","5.4","07-08"
"Zoumana Camara","Ligue 1","Ligue 1","5.4","07-08"
"Graziano Pellè","Serie B","Eredivisie","5.4","07-08"
"Welliton","Série A","Premier Liga","5.4","07-08"
"Nenê","Liga BBVA","Ligue 1","5.4","07-08"
"Ángel López","Liga BBVA","LaLiga","5.4","07-08"
"Gary Cahill","Premier League","Premier League","5.4","07-08"
"Andy Reid","Championship","Premier League","5.4","07-08"
"Steven Davis","Premier League","Premier League","5.31","07-08"
"David López","LaLiga","LaLiga","5.22","07-08"
"Cristiano Lucarelli","Vyshcha Liga","Serie A","5.13","07-08"
"Maxi Pereira","Uruguay","Liga NOS","5.13","07-08"
"Ezequiel Lavezzi","Torneo Final","Serie A","5.04","07-08"
"Marek Hamsik","Serie B","Serie A","4.95","07-08"
"Gelson Fernandes","SSL","Premier League","4.95","07-08"
"Marlon Harewood","Premier League","Premier League","4.95","07-08"
"Marco Andreolli","Serie A","Serie A","4.95","07-08"
"Juliano Belletti","LaLiga","Premier League","4.95","07-08"
"Glen Johnson","Premier League","Premier League","4.95","07-08"
"Fabiano Santacroce","Serie B","Serie A","4.95","07-08"
"Grétar Steinsson","Eredivisie","Premier League","4.73","07-08"
"Robert Earnshaw","Championship","Premier League","4.68","07-08"
"Arturo Vidal","Chile","Bundesliga","4.68","07-08"
"Greg Halford","Premier League","Premier League","4.68","07-08"
"Benjani","Premier League","Premier League","4.68","07-08"
"Lubos Kalouda","Gambrinus Liga","Premier Liga","4.66","07-08"
"Manuele Blasi","Serie A","Serie A","4.55","07-08"
"Émerson","LaLiga","Serie A","4.5","07-08"
"Roy Makaay","Bundesliga","Eredivisie","4.5","07-08"
"Lincoln","Bundesliga","Süper Lig","4.5","07-08"
"Gaël Givet","Ligue 1","Ligue 1","4.5","07-08"
"Kanga Akalé","Ligue 1","Ligue 1","4.5","07-08"
"James Beattie","Premier League","Championship","4.5","07-08"
"Papa Bouba Diop","Premier League","Premier League","4.5","07-08"
"Ari","Allsvenskan","Eredivisie","4.5","07-08"
"Giulio Migliaccio","Serie A","Serie A","4.5","07-08"
"Benoît Cheyrou","Ligue 1","Ligue 1","4.5","07-08"
"Tom De Mul","Eredivisie","LaLiga","4.5","07-08"
"Blaise Matuidi","Ligue 2","Ligue 1","4.5","07-08"
"Roque Santa Cruz","Bundesliga","Premier League","4.5","07-08"
"Fernando Baiano","Liga BBVA","LaLiga","4.5","07-08"
"Dani Güiza","LaLiga","LaLiga","4.5","07-08"
"Maxi Moralez","Torneo Final","Premier Liga","4.5","07-08"
"Emerson","Qatar","Ligue 1","4.5","07-08"
"Chinedu Obasi","Tippeligaen","2. Bundesliga","4.5","07-08"
"Filip Holosko","Süper Lig","Süper Lig","4.5","07-08"
"Mesut Özil","Bundesliga","Bundesliga","4.5","07-08"
"Ivan Rakitic","SSL","Bundesliga","4.5","07-08"
"Nathan Ellington","Championship","Championship","4.39","07-08"
"Marco Ruben","Torneo Final","LaLiga","4.32","07-08"
"Theofanis Gekas","Bundesliga","Bundesliga","4.23","07-08"
"Zat Knight","Premier League","Premier League","4.23","07-08"
"Matthew Taylor","Premier League","Premier League","4.23","07-08"
"Freddie Ljungberg","Premier League","Premier League","4.05","07-08"
"Ludovic Giuly","LaLiga","Serie A","4.05","07-08"
"Carlos Diogo","LaLiga","LaLiga","4.05","07-08"
"Giandomenico Mesto","Serie A","Serie A","4.05","07-08"
"Mike Hanke","Bundesliga","Bundesliga","4.05","07-08"
"Andriy Shevchenko","Serie A","Premier League","39.49","06-07"
"Michael Carrick","Premier League","Premier League","24.48","06-07"
"Mahamadou Diarra","Ligue 1","LaLiga","23.4","06-07"
"Joaquín","LaLiga","LaLiga","22.5","06-07"
"Zlatan Ibrahimovic","Serie B","Serie A","22.32","06-07"
"Sergio Agüero","Torneo Final","LaLiga","19.53","06-07"
"Fernando Gago","Torneo Final","LaLiga","18.45","06-07"
"John Mikel Obi","Tippeligaen","Premier League","18","06-07"
"Dirk Kuyt","Eredivisie","Premier League","16.2","06-07"
"Émerson","Serie B","LaLiga","14.4","06-07"
"Obafemi Martins","Serie A","Premier League","14.4","06-07"
"Dimitar Berbatov","Bundesliga","Premier League","14.13","06-07"
"Damien Duff","Premier League","Premier League","13.95","06-07"
"Ruud van Nistelrooy","Premier League","LaLiga","13.5","06-07"
"Ricardo Oliveira","LaLiga","Serie A","13.5","06-07"
"Carlos Tevez","Série A","Premier League","13.14","06-07"
"Javier Mascherano","Série A","Premier League","13.14","06-07"
"Anatoliy Tymoshchuk","Vyshcha Liga","UPL","13.05","06-07"
"Gianluca Zambrotta","Serie B","LaLiga","12.6","06-07"
"Khalid Boulahrouz","Bundesliga","Premier League","11.88","06-07"
"Ashley Young","Premier League","Premier League","11.88","06-07"
"Matthew Upson","Championship","Premier League","11.34","06-07"
"Didier Zokora","Ligue 1","Premier League","11.12","06-07"
"David Pizarro","Serie A","Serie A","11.03","06-07"
"Eidur Gudjohnsen","Premier League","LaLiga","10.8","06-07"
"Nicolas Anelka","Süper Lig","Premier League","10.8","06-07"
"Gonzalo Higuaín","Torneo Final","LaLiga","10.8","06-07"
"Pablo Aimar","LaLiga","LaLiga","9.9","06-07"
"Cani","LaLiga","LaLiga","9.9","06-07"
"Andy Johnson","Championship","Premier League","9.9","06-07"
"Vincent Kompany","Jupiler Pro League","Bundesliga","9.45","06-07"
"Lukas Podolski","2. Bundesliga","Bundesliga","9","06-07"
"Tomas Rosicky","Bundesliga","Premier League","9","06-07"
"Francesco Tavano","Serie A","LaLiga","9","06-07"
"Stiliyan Petrov","Premiership","Premier League","9","06-07"
"Pascal Chimbonda","Premier League","Premier League","9","06-07"
"Patrick Vieira","Serie B","Serie A","8.55","06-07"
"Jermaine Pennant","Championship","Premier League","8.19","06-07"
"Maniche","Premier Liga","LaLiga","8.1","06-07"
"Arouna Koné","Eredivisie","Eredivisie","8.1","06-07"
"Craig Bellamy","Premier League","Premier League","8.1","06-07"
"Fernando Cavenaghi","Premier Liga","Ligue 1","8.1","06-07"
"Wagner","Série A","Saudi Arabia","8.1","06-07"
"Javier Chevantón","Ligue 1","LaLiga","8.01","06-07"
"Robert Huth","Premier League","Premier League","8.01","06-07"
"Amauri","Serie A","Serie A","7.88","06-07"
"Matías Fernández","Chile","LaLiga","7.83","06-07"
"Rafael Sóbis","Série A","LaLiga","7.65","06-07"
"Daniel Van Buyten","Bundesliga","Bundesliga","7.2","06-07"
"Adrian Mutu","Serie B","Serie A","7.2","06-07"
"Nilmar","Ligue 1","Série A","7.2","06-07"
"Kim Källström","Ligue 1","Ligue 1","7.2","06-07"
"Massimo Oddo","Serie A","Serie A","6.98","06-07"
"Ronaldo","LaLiga","Serie A","6.75","06-07"
"Asier del Horno","Premier League","LaLiga","6.75","06-07"
"Fatih Tekke","Süper Lig","Premier Liga","6.75","06-07"
"Ederson","Série A","Ligue 1","6.75","06-07"
"Emile Heskey","Championship","Premier League","6.75","06-07"
"Diego Lugano","Série A","Süper Lig","6.75","06-07"
"Ashley Cole","Premier League","Premier League","6.66","06-07"
"Fabio Cannavaro","Serie B","LaLiga","6.3","06-07"
"Jérémy Toulalan","Ligue 1","Ligue 1","6.3","06-07"
"Mateja Kezman","LaLiga","Süper Lig","6.3","06-07"
"Alejandro Domínguez","Premier Liga","Premier Liga","6.3","06-07"
"Maicon","Ligue 1","Serie A","6.12","06-07"
"Luís Boa Morte","Premier League","Premier League","6.12","06-07"
"Mido","Serie A","Premier League","6.08","06-07"
"Joleon Lescott","Championship","Premier League","5.85","06-07"
"Stefan Kießling","Bundesliga","Bundesliga","5.85","06-07"
"David Odonkor","Bundesliga","LaLiga","5.85","06-07"
"Marcelo","Série A","LaLiga","5.85","06-07"
"Stephen Makinwa","Serie A","Serie A","5.67","06-07"
"Alou Diarra","Ligue 1","Ligue 1","5.63","06-07"
"Costinha","Premier Liga","LaLiga","5.4","06-07"
"Mark van Bommel","LaLiga","Bundesliga","5.4","06-07"
"Diego","Liga NOS","Bundesliga","5.4","06-07"
"Georgios Seitaridis","Premier Liga","LaLiga","5.4","06-07"
"Nikola Zigic","Meridian Super","LaLiga","5.4","06-07"
"Sidi Keita","Ligue 2","Ligue 1","5.4","06-07"
"Fernando Navarro","LaLiga","LaLiga","5.4","06-07"
"Ilan","Ligue 1","Ligue 1","5.4","06-07"
"Gary McSheffrey","Championship","Championship","5.4","06-07"
"Joris Mathijsen","Eredivisie","Bundesliga","5.4","06-07"
"Javi Martínez","2ª B - Grupo III","LaLiga","5.4","06-07"
"Sébastien Frey","Serie A","Serie A","5.18","06-07"
"Edú Dracena","Série A","Süper Lig","5.13","06-07"
"Ramón","Série A","Premier Liga","5.09","06-07"
"Yaya Touré","GSL","Ligue 1","4.95","06-07"
"Fabio Grosso","Serie A","Serie A","4.95","06-07"
"Mario Santana","Serie A","Serie A","4.95","06-07"
"Fábio Simplício","Serie A","Serie A","4.95","06-07"
"Matías Delgado","SSL","Süper Lig","4.95","06-07"
"Souleymane Diawara","Ligue 1","Premier League","4.86","06-07"
"Cristian Ledesma","Serie B","Serie A","4.77","06-07"
"Emiliano Bonazzoli","Serie A","Serie A","4.73","06-07"
"Fernando Morientes","Premier League","LaLiga","4.5","06-07"
"Aleksandr Kerzhakov","Premier Liga","LaLiga","4.5","06-07"
"Benoît Pedretti","Ligue 1","Ligue 1","4.5","06-07"
"Diego Milito","Serie B","LaLiga","4.5","06-07"
"Celsinho","Brazil","Premier Liga","4.5","06-07"
"Mousa Dembélé","Eredivisie","Eredivisie","4.5","06-07"
"Benoît Assou-Ekotto","Ligue 1","Premier League","4.5","06-07"
"Johan Elmander","SAS Ligaen","Ligue 1","4.5","06-07"
"Pierre-Alain Frau","Ligue 1","Ligue 1","4.5","06-07"
"Lilian Thuram","Serie B","LaLiga","4.5","06-07"
"Denílson","Série A","Premier League","4.5","06-07"
"Pavel Pogrebnyak","Premier Liga","Premier Liga","4.5","06-07"
"Ricardo Rocha","Liga NOS","Premier League","4.5","06-07"
"Edinson Cavani","Uruguay","Serie A","4.5","06-07"
"Jan Vennegoor of Hesselink","Eredivisie","Premiership","4.41","06-07"
"Per Mertesacker","Bundesliga","Bundesliga","4.23","06-07"
"Nelson Haedo Valdez","Bundesliga","Bundesliga","4.23","06-07"
"Riki","LaLiga","LaLiga","4.18","06-07"
"Sébastien Squillaci","Ligue 1","Ligue 1","4.05","06-07"
"Daniel Moreira","Ligue 1","Ligue 1","4.05","06-07"
"Olivier Thomert","Ligue 1","Ligue 1","4.05","06-07"
"Paulo André","Série A","Ligue 1","4.05","06-07"
"Niko Kranjcar","1.HNL","Premier League","4.05","06-07"
"Afonso Alves","Allsvenskan","Eredivisie","4.05","06-07"
"Yoann Gourcuff","Ligue 1","Serie A","4.05","06-07"
"Fitz Hall","Championship","Premier League","4.05","06-07"
"Federico Insúa","Torneo Final","Bundesliga","4.05","06-07"
"Franck Queudrue","Premier League","Premier League","4.05","06-07"
"Deivid","Liga NOS","Süper Lig","4.05","06-07"
"Johann Vogel","Serie A","LaLiga","4.05","06-07"
"Greg Halford","Championship","Premier League","4.05","06-07"
"Dodô","Série A","United Arab Emirates","4.05","06-07"
"Cameron Jerome","Championship","Championship","4.01","06-07"
"Denny Landzaat","Eredivisie","Premier League","3.96","06-07"
